model_name,n_name,rho_name,task,n_main_trees,n_interaction_trees,n_total_trees,avg_main_depth,avg_interaction_depth,max_main_depth,max_interaction_depth,avg_main_splits,avg_interaction_splits,max_main_splits,max_interaction_splits,sum_main_splits,sum_interaction_splits
model1,n500k,rho05,classification,1203,12,1215,1.0,1.0,1,1,1.0,1.0,1,1,1203,12
model1,n500k,rho0,classification,1688,56,1744,1.0,1.0,1,1,1.0,1.0,1,1,1688,56
model1,n50k,rho05,classification,615,7,622,1.0,1.0,1,1,1.0,1.0,1,1,615,7
model1,n50k,rho0,classification,923,8,931,1.0,1.0,1,1,1.0,1.0,1,1,923,8
model2,n500k,rho05,classification,612,544,1156,1.0,1.0,1,1,1.0,1.0,1,1,612,544
model2,n500k,rho0,classification,713,550,1263,1.0,1.0,1,1,1.0,1.0,1,1,713,550
model2,n50k,rho05,classification,267,221,488,1.0,1.0,1,1,1.0,1.0,1,1,267,221
model2,n50k,rho0,classification,386,255,641,1.0,1.0,1,1,1.0,1.0,1,1,386,255
model3,n500k,rho05,classification,478,655,1133,1.0,1.0,1,1,1.0,1.0,1,1,478,655
model3,n500k,rho0,classification,685,842,1527,1.0,1.0,1,1,1.0,1.0,1,1,685,842
model3,n50k,rho05,classification,312,140,452,1.0,1.0,1,1,1.0,1.0,1,1,312,140
model3,n50k,rho0,classification,438,270,708,1.0,1.0,1,1,1.0,1.0,1,1,438,270
model4,n500k,rho05,classification,526,521,1047,1.0,1.0,1,1,1.0,1.0,1,1,526,521
model4,n500k,rho0,classification,588,1020,1608,1.0,1.0,1,1,1.0,1.0,1,1,588,1020
model4,n50k,rho05,classification,286,291,577,1.0,1.0,1,1,1.0,1.0,1,1,286,291
model4,n50k,rho0,classification,351,428,779,1.0,1.0,1,1,1.0,1.0,1,1,351,428
