model_name,n_name,rho_name,task,n_main_trees,n_interaction_trees,n_total_trees,avg_main_depth,avg_interaction_depth,max_main_depth,max_interaction_depth,avg_main_splits,avg_interaction_splits,max_main_splits,max_interaction_splits,sum_main_splits,sum_interaction_splits
model1,n500k,rho05,regression,906,7,913,2.0,2.0,2,2,3.0,3.0,3,3,2718,21
model1,n500k,rho0,regression,854,6,860,2.0,2.0,2,2,3.0,3.0,3,3,2562,18
model1,n50k,rho05,regression,576,22,598,2.0,2.0,2,2,3.0,3.0,3,3,1728,66
model1,n50k,rho0,regression,746,16,762,2.0,2.0,2,2,3.0,3.0,3,3,2238,48
model2,n500k,rho05,regression,1221,549,1770,2.0,2.0,2,2,3.0,3.0,3,3,3663,1647
model2,n500k,rho0,regression,426,1008,1434,2.0,2.0,2,2,3.0,3.0,3,3,1278,3024
model2,n50k,rho05,regression,767,627,1394,2.0,2.0,2,2,3.0,3.0,3,3,2301,1881
model2,n50k,rho0,regression,251,409,660,2.0,2.0,2,2,3.0,3.0,3,3,753,1227
model3,n500k,rho05,regression,609,1013,1622,2.0,2.0,2,2,3.0,3.0,3,3,1827,3039
model3,n500k,rho0,regression,297,644,941,2.0,2.0,2,2,3.0,3.0,3,3,891,1932
model3,n50k,rho05,regression,442,430,872,2.0,2.0,2,2,3.0,3.0,3,3,1326,1290
model3,n50k,rho0,regression,217,446,663,2.0,2.0,2,2,3.0,3.0,3,3,651,1338
model4,n500k,rho05,regression,1161,1809,2970,2.0,2.0,2,2,3.0,3.0,3,3,3483,5427
model4,n500k,rho0,regression,444,783,1227,2.0,2.0,2,2,3.0,3.0,3,3,1332,2349
model4,n50k,rho05,regression,811,853,1664,2.0,2.0,2,2,3.0,3.0,3,3,2433,2559
model4,n50k,rho0,regression,460,426,886,2.0,2.0,2,2,3.0,3.0,3,3,1380,1278
